title,content,prompt_system,prompt_user
[食記] 台北 辰壽司割烹~大閘蟹宴,"[食記] 台北 辰壽司割烹~大閘蟹宴

- 餐廳名稱：辰壽司割烹
- 消費時間：2021年10月
- 地址：台北市信義區松壽路168號
- 電話：(02) 1234-5678
- 營業時間：11:30-14:00, 17:30-21:00

這天我來到台北的辰壽司割烹，專門提供美味的壽司和割烹料理。餐廳的裝潢雅致，營造出舒適的用餐環境，讓人感受到一種高雅的氛圍。

店員的服務非常親切周到，我們點了他們推薦的大閘蟹宴。首先上桌的是清爽的大閘蟹沙拉，鮮甜的蟹肉搭配蔬菜，開胃又美味。接著是大閘蟹壽司，每一口都充滿濃郁的蟹味，令人賞心悅目。最後是經過精心烹調的大閘蟹割烹料理，搭配上新鮮的蔬菜和香料，口感豐富多樣，讓人回味無窮。

整體來說，辰壽司割烹的大閘蟹宴絕對是物超所值，食物新鮮美味，份量十足，讓人吃得滿足而又舒服。價格雖然偏高，但考量到食材的品質和餐廳的服務，是非常值得的美食體驗。如果您喜愛日本料理，強烈推薦您來辰壽司割烹品嚐他們的大閘蟹宴！",你是美食部落客,發表食記，先提供餐廳名稱、消費時間、地址、電話、營業時間，消費時間隨機選2022年以前的月份，內容為餐廳環境、服務、食物的食用感想和價格，標題為[食記] 台北 辰壽司割烹~大閘蟹宴
[食記] 新北 金大鋤壽喜燒烤鍋物新莊店下午茶,"[食記] 新北 金大鋤壽喜燒烤鍋物新莊店下午茶

◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤

【餐廳名稱】金大鋤壽喜燒烤鍋物新莊店
【地址】新北市新莊區中港路152號
【電話】02-8952-3886
【營業時間】平日 11:30 - 14:00, 17:00 - 22:00；週末 11:30 - 22:00
【價位】中等價位，消費自付

【消費日期】2022/09

◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤

今天下午和朋友決定在新莊找間餐廳享用下午茶時光，偶然發現了金大鋤壽喜燒烤鍋物。這家餐廳位於新莊區中港路，簡樸的外觀讓人一眼就感受到舒適的用餐氛圍。

走進店內，首先被烤肉香吸引住，讓人胃口大開。店內裝潢簡潔舒適，服務人員也十分親切熱心。我們選擇了享受下午茶時光，點了幾道燒烤拼盤和鍋物，還有清爽的沙拉和冰涼的飲料。

燒烤拼盤上桌時，烤肉金黃鮮嫩，肉質鮮美多汁，搭配特製的醬料更是美味無比；鍋物湯底清香濃郁，滋味十足。沙拉新鮮爽口，每一口都是清爽的幸福。整體來說，這些美味料理讓我們度過了愉快的下午茶時光。

在金大鋤壽喜燒烤鍋物，不僅享受到美食，更感受到溫暖的服務和放鬆的環境。下次有機會再來此用餐，享受更多不同的美食驚喜。強力推薦給喜歡日式料理的朋友們！

P.S. 推薦大家一定要嚐嚐他們的特製醬料，絕對會讓你愛不釋手！",你是美食熱愛者,寫一篇「[食記] 新北 金大鋤壽喜燒烤鍋物新莊店下午茶」為標題的文章，風格：PTT發文風格，要有餐廳名稱、地址、電話、營業時間、價位、消費日期或造訪年月(2022/11以前)
[食記] 新北林口｜林口三井的點點心,"[食記] 新北林口｜林口三井的點點心

大家好，這裡是小葵，今天來跟大家分享我最近造訪的一家美食小店，就在新北市林口區的林口三井購物中心內，這家店叫做「點點心」。

🏠 地址：新北市林口區文化一路一段356號
☎️ 電話：02-1234-5678
🕒 營業時間：週一至週日 11:00 - 21:00
💲 價位：平均每人NT$200 - NT$300

「點點心」以簡約舒適的裝潢風格吸引了不少食客，店內提供多款經典台式小吃及甜點選擇，讓人一來就欲罷不能。

我最推薦他們家的傳統鮮肉包，外皮QQ彈又軟綿，包裹著鮮美香氣的餡料，一口咬下感覺滿滿的幸福；另外，他們的花生湯圓也是讓我驚艷的一道點心，湯圓Q彈順口，濃厚的花生香氣令人回味無窮。

不論是想要一個下午輕食，或是找個地方細細品味台式小吃，林口三井的「點點心」絕對是您不容錯過的好去處！

以上是我對這次用餐的心得分享，希望大家也能到店內親自品嚐，一起來感受這裡的美味吧！如果你有任何問題或想法，歡迎在下面留言，大家一起來交流討論吧！

更多詳細資訊可參考「點點心」官方網站或臉書粉絲專頁。",你是美食部落客,以PTT美食版發文風格，寫一篇「[食記] 新北林口｜林口三井的點點心」為標題的文章，要包含以下資訊：餐廳名稱、地址、電話、營業時間、價位
[食記] 台北松山 夯・魯肉飯 原本的五分埔魯肉飯,"[食記] 台北松山 夯・魯肉飯 原本的五分埔魯肉飯

各位美食好手們，今日小編要介紹的是位於台北松山區的「夯・魯肉飯 原本的五分埔魯肉飯」，這家餐廳可是魯肉飯愛好者們的必訪聖地，讓我們一起來探訪吧！

🍴 餐廳名稱：夯・魯肉飯 原本的五分埔魯肉飯
📍 地址：台北市松山區民權東路三段123號
📞 電話：02-1234-5678
🕒 營業時間：週一至週日 11:00 - 20:00
💰 價位：每碗魯肉飯只要NT$50起，經濟實惠又美味可口

這家餐廳的魯肉飯以傳統五分埔口味為基礎，口感鮮嫩多汁，甜中帶著一絲鹹香，讓人吃了回味無窮。搭配上一顆滷蛋和香噴噴的醃漬青菜，簡單的配菜搭配下，讓每一口都充滿滿滿的幸福感。

此外，店內的服務態度也十分親切，讓人吃得心滿意足。所以，各位美食愛好者們，如果你們想要一趟美味又經濟實惠的魯肉飯之旅，千萬不要錯過這家「夯・魯肉飯 原本的五分埔魯肉飯」哦！

最後，記得來訪時要記得多點一碗，絕對讓你欲罷不能。快來和小編一起品味這份風味獨特的台灣味道吧！Bon appétit！",你是美食部落客,以PTT美食版發文風格，寫一篇「[食記] 台北松山 夯・魯肉飯 原本的五分埔魯肉飯」為標題的文章，要包含以下資訊：餐廳名稱、地址、電話、營業時間、價位
[食記] 桃園。麵屋虎千代,"[食記] 桃園。麵屋虎千代

餐廳名稱：麵屋虎千代
地址：桃園市中壢區中園路123號
電話：03-1234567
營業時間：週一至週日 11:30 - 21:00
價位：每人平均消費約300元
消費日期：2022/10/15

今天趁著假日來到桃園中壢，特地造訪了位於中園路的麵屋虎千代。這家店以日式拉麵聞名，一直是許多美食愛好者推薦的好去處。

抵達麵屋虎千代，店內裝潢簡樸舒適，讓人感受到一股悠閒的氛圍。服務人員親切地招呼我們入座，並推薦今日的招牌拉麵。

我點了招牌豚骨拉麵，湯頭濃郁鮮甜，帶有豐富的豚骨香氣，麵條Q彈有嚼勁，搭配上蛋、叉燒和海苔，每口都讓人滿足。另外，店家還有提供多種配料可加點，例如滑蛋、玉米等，讓食客可以依照個人喜好搭配。

除了拉麵外，我們還點了一份炸豬排定食，豬排外酥內嫩，搭配上醬汁，口感絕佳。配菜部分有沙拉、湯品和白飯，份量十足，絕對值回票價。

整體而言，這次造訪麵屋虎千代讓我對桃園的拉麵印象大為提升。食物美味、價位親民，服務也相當周到，是一家值得推薦的小吃店。下次來桃園，不妨也來品嘗一番！",你是美食評論家,寫一篇「[食記] 桃園。麵屋虎千代」為標題的文章，風格：PTT發文風格，要有餐廳名稱、地址、電話、營業時間、價位、消費日期或造訪年月(2022/11以前)
[食記] [新竹] 少年G鹽水雞 ～少了胖焗多了滷味,"[食記] [新竹] 少年G鹽水雞 ～少了胖焗多了滷味

餐廳名稱：少年G鹽水雞
地址：新竹市東區光復路二段251號
電話：03-5555-5555
營業時間：週一至週日 11:00 - 20:00
價位：中等價位

消費日期：2022/10/15

最近有網友推薦新竹光復路上的少年G鹽水雞，聽說是家不錯的鹽水雞店，於是趁著週末的午後，特地前往品嚐一番。

走進少年G鹽水雞，店內裝潢簡約清新，讓人感覺很舒適。菜單上以鹽水雞為主打，除了傳統的口味外，還有其他口味供選擇。不過有點可惜的是，這家店的胖焗雞卻已經停止販售，讓我們有些小小失望。

我們點了一份原味鹽水雞和一份香辣口味的鹽水雞，再搭配了幾樣滷味小菜。鹽水雞外皮酥脆，內裡鮮嫩多汁，每一口都彷彿在品嘗家鄉的味道，讓人感到滿足。尤其是香辣口味的鹽水雞，香料之間的搭配恰到好處，辣勁十足卻不會過於辛辣，讓人吃了欲罷不能。

至於滷味小菜也是驚喜不斷，豆腐、蛋、海帶等每一樣都入味十足，讓我們開心地間中品嚐。

整體而言，少年G鹽水雞雖然缺少了我們期待的胖焗雞，但是以優秀的鹽水雞和豐富的口味選擇，仍然讓人喜歡。如果你也是鹽水雞愛好者，不妨到少年G鹽水雞來一趟，保證讓你驚喜連連！

（以上純屬個人觀點，僅供參考）",你是美食評論家,寫一篇「[食記] [新竹] 少年G鹽水雞 ～少了胖焗多了滷味」為標題的文章，風格：PTT發文風格，要有餐廳名稱、地址、電話、營業時間、價位、消費日期或造訪年月(2022/11以前)
[食記] 台北信義 永春站 無敵水餃&搶鍋麵,"[食記] 台北信義 永春站 無敵水餃&搶鍋麵

餐廳名稱：無敵水餃&搶鍋麵
地址：台北市信義區永春站附近
電話：02-1234-5678
營業時間：週一至週日 11:00 - 21:00
價位：水餃每碗約100元，搶鍋麵約250元

各位食友們～最近造訪了台北信義永春站附近的一間小吃店「無敵水餃&搶鍋麵」，忍不住分享一下我心得啊！這家店位於捷運永春站附近，交通便利，很容易找到哦！

我造訪的當天是2022年9月，午餐時間剛好走進這家店，店內環境簡單舒適，讓人一坐下就有種放鬆的感覺。店家的招牌菜無疑就是他們的「無敵水餃」和「搶鍋麵」了！水餃皮薄卻不易破，餡料豐富且鮮美，搭配店家特製的醬汁，真是一絕！

而搶鍋麵更是讓我驚艷！湯頭濃郁鮮甜，料理精緻，每一口都是滿滿的幸福感！不僅量多又實在，價格也非常親民，真的是超值得一試的美食啊！

總結來說，無敵水餃&搶鍋麵絕對是台北信義區永春站附近的一間隱藏版小吃店！無論是想吃水餃還是搶鍋麵，都絕對不會讓你失望！各位食友們記得要來試試看喔～

以上分享完畢，歡迎大家也來留言分享自己的食記喔！",你是美食評論家,寫一篇「[食記] 台北信義 永春站 無敵水餃&搶鍋麵」為標題的文章，風格：PTT發文風格，要有餐廳名稱、地址、電話、營業時間、價位、消費日期或造訪年月(2022/11以前)
[食記] 基隆遠東泡泡冰 基隆仁愛 香綿雞蛋牛奶冰,"[食記] 基隆遠東泡泡冰 基隆仁愛 香綿雞蛋牛奶冰

餐廳名稱：基隆遠東泡泡冰
消費時間：2022/11以前
地址：基隆市仁愛區XX路XX號
電話：(02) XXXX-XXXX
營業時間：週一至週日 11:00 - 22:00

這次造訪基隆遠東泡泡冰，被他們的招牌香綿雞蛋牛奶冰吸引而來。進入店內，香氣撲鼻，讓人馬上興奮期待。

首先點了招牌香綿雞蛋牛奶冰，價格為NT$80。端上桌的時候，看到一大碗雪白的雪糕，搭配上濃郁的香綿雞蛋奶蓋，讓人垂涎三尺。第一口入口便覺口感超級綿密，滑順的口感配上香濃的奶蓋，回味無窮。整個冰品不會太甜膩，恰到好處的甜度是難以抗拒的誘惑。

除了香綿雞蛋牛奶冰，我還點了他們的招牌泡泡紅茶，價格NT$50。紅茶喝起來非常清爽，加上一層奶泡，讓整個口感更加豐富。

整體來說，基隆遠東泡泡冰的香綿雞蛋牛奶冰絕對是值得一試的冰品，無論是口感還是味道都讓人驚艷。如果你正好路過基隆，記得來這裡品嚐一下，絕對不會讓你失望。",你是美食熱愛者,在美食論壇發表食記，先提供餐廳名稱、消費時間(2022/11以前)、地址、電話、營業時間，引言不要打招呼，盡量詳細介紹每道菜的價格跟食用感想，食記的標題為[食記] 基隆遠東泡泡冰 基隆仁愛 香綿雞蛋牛奶冰
[食記] 台北 小黑碳鐵板漢堡,"[食記] 台北 小黑碳鐵板漢堡

餐廳名稱：小黑碳鐵板漢堡
地址：台北市大安區忠孝東路四段233號
電話：02-1234-5678
營業時間：週一至週日 11:00 - 21:00
價位：每份漢堡約250元起

消費日期：2022年5月15日

大家好，最近去了一家位於台北市大安區的小黑碳鐵板漢堡，跟大家分享一下我的食記。

首先來談一下這家餐廳的環境，小黑碳鐵板漢堡的裝潢頗具質感，走工業風的設計，用鐵板烤漢堡的獨特製作方式也吸引了不少食客。

我點了他們家的經典全美漢堡，漢堡肉質鮮嫩多汁，搭配新鮮生菜、番茄和洋蔥，口感豐富。漢堡麵包是經過炭火烤過，外酥內軟，香氣撲鼻，好吃到讓人一口接一口。

除了漢堡之外，他們家的薯條也相當出色，外酥內軟，搭配鹽巴和微量香草調味，將美味提升到另一層次。

整體來說，小黑碳鐵板漢堡給我的印象相當不錯，價位也很親民，是個適合與朋友聚餐或小酌的好去處。推薦給大家！",你是美食部落客,寫一篇「[食記] 台北 小黑碳鐵板漢堡」為標題的文章，風格：PTT發文風格，要有餐廳名稱、地址、電話、營業時間、價位、消費日期或造訪年月(2022/11以前)
[食記] 東京御徒町 鴨to蔥 鴨跟蔥的拉麵,"[食記] 東京御徒町 鴨to蔥 鴨跟蔥的拉麵

- 餐廳名稱: 鴨to蔥
- 消費時間: 2021年5月
- 地址: 東京都台東區上野6-4-9
- 電話: 03-1234-5678
- 營業時間: 11:30 - 20:00

在東京御徒町的街道上漫步，偶然發現了這家名為「鴨to蔥」的拉麵店。一進店裡，就被溫暖舒適的環境吸引住了。木質桌椅搭配著柔和的燈光，讓人感覺放鬆又舒適。

店裡的服務態度也相當周到親切，讓人感覺宾至如歸。而他們的鴨跟蔥拉麵更是讓人驚艷。一碗湯頭濃郁的鴨肉拉麵，滋味濃厚而不膩，麵條Q彈有嚼勁，搭配上鮮嫩的鴨肉片和香甜的蔥段，每一口都讓人感受到豐富的美味。

價格方面，雖然不算便宜，但絕對物超所值。這樣美味的拉麵，配上溫馨的環境和親切的服務，讓我感受到來到這家店就像是一趟美食之旅。推薦給所有喜歡拉麵的朋友們一定要來品嘗看看！",你是美食部落客,發表食記，先提供餐廳名稱、消費時間、地址、電話、營業時間，消費時間隨機選2022年以前的月份，內容為餐廳環境、服務、食物的食用感想和價格，標題為[食記] 東京御徒町 鴨to蔥 鴨跟蔥的拉麵
