title,content,prompt_system,prompt_user
[食記] 台南 來一片。一周只賣三天的美味披蕯店,"【食記】台南 來一片。一周只賣三天的美味披薩店

各位大德大家好，今天要來跟大家分享一家位於台南的美食天堂 - 來一片！這家店可是周周只開三天的，所以想吃可要注意時間啊！以下是店家資訊：

店名：來一片
地址：台南市東區中華東路三段232號
電話：06-209-1587
營業時間：週四、五、六 11:00 - 14:00, 17:00 - 21:00 (不定期公休，建議先電聯)
價位：約 $150 - $300/人
造訪年月：2022/11

首先，來一片的位置在東區中華東路三段上，附近有不少停車場可以停。店外裝潢很有義大利風情，讓人一進門就充滿期待！

一入座，服務生馬上送上菜單，這裡的披薩種類超多，還有一些義大利麵、燉飯等主食。我點了一份「海鮮總匯」披薩和一份「牛肉肉醬」燉飯。

海鮮總匯披薩上桌了！滿滿的鮮蝦、干貝、魷魚、花枝，看起來超澎湃！餅皮薄脆，料多到每一口都吃得到海味。

牛肉肉醬燉飯也不遑多讓，燉飯粒粒分明，牛肉軟嫩入味，搭配上濃郁的白醬，真是太幸福啦！

飲料部分，我點了一杯「檸檬愛玉」，酸酸甜甜的很解膩。

最後，來一片的甜點是「提拉米蘇」，咖啡香十足，配上綿密的鮮奶油，完美收尾！

整體來說，來一片的披薩和燉飯都非常美味，份量也足，CP值很高！下次再來台南一定會再訪！但記得要注意營業時間啊～",你是美食熱愛者,寫一篇「[食記] 台南 來一片。一周只賣三天的美味披蕯店」為標題的文章，風格：PTT發文風格，要有餐廳名稱、地址、電話、營業時間、價位、消費日期或造訪年月(2022/11以前)
[食記] 台北 辰壽司割烹~大閘蟹宴,"【食記】台北 辰壽司割烹~大閘蟹宴

在美食論壇發表食記，先提供餐廳名稱、消費時間(2022/11以前)、地址、電話、營業時間，引言不要打招呼，盡量詳細介紹每道菜的價格跟食用感想。

標題：[食記] 台北 辰壽司割烹~大閘蟹宴

消費時間：2021年10月

餐廳名稱：辰壽司割烹
地址：台北市大安區信義路二段196號
電話：(02)2343-5877
營業時間：11:30-14:30、17:30-22:00

引言：辰壽司割烹是一家提供大閘蟹宴的日本料理店，位於台北市大安區的信義路上。這次我們在2021年10月造訪，來品嚐他們的季節限定大閘蟹饗宴。

一、前菜

1. 刺身拼盤 (NT$800)：夾有鮭魚、鮪魚、旗魚等新鮮刺身，搭配上等醬油和山葵，味道鮮美。
2. 茶碗蒸 (NT$150)：柔軟的蒸蛋中加入了鮮蝦和干貝，口感豐富。
3. 海老茶泡飯 (NT$280)：以蝦仁、香菇、雞蛋等食材製成的茶泡飯，滋味濃郁。

二、主菜

1. 大閘蟹 (NT$1,600/隻)：肉質鮮美彈牙的大閘蟹，搭配上等醋飲，風味絕佳。
2. 松葉蟹肉卷 (NT$350)：以松葉蟹肉和蔬菜包裹的壽司捲，口感清爽。
3. 蟹肉玉子燒 (NT$280)：柔軟的蛋皮中包著鮮美的蟹肉，滋味豐富。
4. 蟹肉炒烏龍麵 (NT$300)：以蟹肉、蔬菜和烏龍麵拌炒而成，味道濃郁。
5. 蟹肉炒飯 (NT$280)：粒粒分明的炒飯中加入了鮮甜的蟹肉，風味獨特。
6. 蟹肉味噌湯 (NT$250)：以大閘蟹殼熬製的味噌湯，滋味醇厚。

三、甜點

1. 抹茶紅豆麻糬 (NT$180)：軟糯的麻糬搭配香滑的抹茶醬和香甜的紅豆泥，味道和諧。
2. 水果盤 (NT$250)：當季新鮮的水果，清甜爽口。

總結：辰壽司割烹的大閘蟹宴以鮮美的食材和精湛的廚藝為特色，讓我們度過了一個難忘的用餐體驗。大閘蟹的肉質鮮美彈牙，搭配上等醋飲後風味絕佳；其他配菜如刺身、茶碗蒸、海老茶泡飯等也表現不俗。甜點抹茶紅豆麻糬和水果盤則為餐單畫上圓滿句號。

推薦指數：★★★★☆ (4/5)",你是美食部落客,在美食論壇發表食記，先提供餐廳名稱、消費時間(2022/11以前)、地址、電話、營業時間，引言不要打招呼，盡量詳細介紹每道菜的價格跟食用感想，標題為[食記] 台北 辰壽司割烹~大閘蟹宴
[食記] 新北 金大鋤壽喜燒烤鍋物新莊店下午茶,"【食記】新北 金大鋤壽喜燒鍋物新莊店下午茶

🌟🌟🌟🌟🌟（5/5）

各位大大好，今天要來分享一下我最近去的新北新莊的「金大鋤壽喜燒鍋物新莊店」吃下午茶的心得！這間壽喜燒是我第一次嘗試，所以大家可以參考看看。

📍地址：新北市新莊區新豐街105號2樓
📞電話：02-8974-3666
⏰營業時間：11:00-15:00, 17:00-22:00
💰價位：下午茶時段每人約$2xx（記得要加一成服務費）
🗓造訪年月：2022/11

首先，「金大鋤壽喜燒鍋物新莊店」的位置在新莊新豐街的二樓，附近有停車場可以停。裝潢走的是日式風格，氣氛很溫馨。

這次是去品嚐他們的下午茶時段，提供壽喜燒套餐，共有A、B兩式可選。我點了A式，有沙拉、壽喜燒肉、白飯、味噌湯、甜點和飲料。

首先上來的是沙拉，生菜新鮮、醬汁味道不錯。壽喜燒肉部分，肉片給得不少，肉質軟嫩，沾醬也很搭。白飯是現煮的，粒粒分明，搭配壽喜燒肉一起吃很下飯！味噌湯喝起來清爽，有料。甜點是抹茶奶酪，口感滑順，茶味濃郁。飲料我選了綠茶，解膩又回甘。

整體來說，「金大鋤壽喜燒鍋物新莊店」的壽喜燒下午茶表現不錯，食材新鮮、味道也符合我的胃口。下次有機會還想去試試他們的晚餐！

最後，附上一下菜單給大家參考：
https://www.example-website.com/menu_golden_kings.pdf

以上就是我個人的用餐心得，希望對大家有幫助！",你是美食評論家,寫一篇「[食記] 新北 金大鋤壽喜燒烤鍋物新莊店下午茶」為標題的文章，風格：PTT發文風格，要有餐廳名稱、地址、電話、營業時間、價位、消費日期或造訪年月(2022/11以前)
[食記] 新北林口｜林口三井的點點心,"【食記】新北林口｜林口三井的點點心

消費時間：2018年3月
地址：新北市林口區文化三路一段65號（林口三井Outlet）
電話：02-8697-4000
營業時間：週一至週日 11:00 - 21:30

在林口三井Outlet的點點心，是一家提供多樣化點心和飲品的小吃店。店內裝潢以現代簡約風為主，明亮的燈光搭配木質桌椅，給人一種溫馨舒適的感覺。座位分為吧台區、四人座桌和六人座桌，適合個人用餐、朋友聚會或家庭聚餐。

服務方面，店員態度親和，在點餐時會詳細介紹菜單上的餐點並提供建議。由於店內人潮眾多，等待時間稍長，但店員會適時地提醒客人目前的候位狀況，讓顧客能掌握等候進度。

以下是當天點的幾道點心和飲品的食用感想：

1. 鮮蝦燒賣皇（6個） - $120

外皮金黃酥脆，內餡飽滿鮮美，蝦肉鮮甜彈牙，搭配上醬汁鹹甜適中，令人回味無窮。

2. 流沙奶黃包 - $85

外層香酥，內層軟糯，奶黃餡香濃濃郁，加上流沙的口感，層次豐富，是一道讓人難忘的點心。

3. 鮮蝦蘿蔔絲餅 - $60

餅皮薄脆，內餡蘿蔔絲鮮香爽口，搭配上鮮嫩的蝦肉，味道平衡，令人齒頰留香。

4. 港式奶茶 - $50

茶味濃郁，奶香柔和，甜度適中，是一杯讓人放鬆的飲品。

5. 芒果青茶（冰） - $60

以新鮮芒果搭配清香的青茶，酸甜滋味清爽解膩，非常適合在炎熱的夏天飲用。

整體而言，點點心提供了美味且多樣化的點心和飲品，加上舒適的環境和親切的服務，是林口三井Outlet內值得一試的小吃店。但需注意的是，由於店內人潮眾多，建議事先訂位或避開尖峰時段以避免久候。",你是美食評論家,發表食記，先提供餐廳名稱、消費時間、地址、電話、營業時間，消費時間隨機選2022年以前的月份，內容為餐廳環境、服務、食物的食用感想和價格，內容500-900字，標題為[食記] 新北林口｜林口三井的點點心
[食記] 台北松山 夯・魯肉飯 原本的五分埔魯肉飯,"【食記】台北松山 夯・魯肉飯 原本的五分埔魯肉飯

在美食論壇發表食記，先提供餐廳名稱、消費時間(2022/11以前)、地址、電話、營業時間，引言不要打招呼，盡量詳細介紹每道菜的價格跟食用感想。

標題：[食記] 台北松山 夯・魯肉飯 原本的五分埔魯肉飯

餐廳名稱：夯・魯肉飯 (原五分埔魯肉飯)
消費時間：2021年10月
地址：台北市松山區民生東路五段59號
電話：02-2748-6333
營業時間：週一至週日 11:00-14:00, 17:00-21:00

一、魯肉飯 (小) - NT$60
魯肉飯是這家店的招牌，使用肥瘦相間的豬肉塊，搭配上鹹香的滷汁，米飯粒粒分明且帶有淡淡的香氣。

二、燙青菜 - NT$50
清爽的燙青菜搭配上簡單的調味，讓蔬菜的鮮甜味充分地釋放出來。

三、魚丸湯 - NT$60
魚丸口感Q彈，湯頭清甜爽口，喝起來非常舒服。

四、滷蛋 - NT$20
滷蛋表面帶有一層薄薄的油亮，蛋黃入口即化，搭配上鹹香的滷汁，味道很足。

五、排骨酥湯 - NT$100
排骨酥外皮酥脆，肉嫩而不柴，湯頭濃郁且不油膩，喝起來非常過癮。

結語：
夯・魯肉飯 (原五分埔魯肉飯) 是一家以魯肉飯為主打的傳統台式小吃店，其魯肉飯和其他配菜都表現得很不錯。如果你喜歡吃台式料理，不妨來這裡一試。",你是美食熱愛者,在美食論壇發表食記，先提供餐廳名稱、消費時間(2022/11以前)、地址、電話、營業時間，引言不要打招呼，盡量詳細介紹每道菜的價格跟食用感想，標題為[食記] 台北松山 夯・魯肉飯 原本的五分埔魯肉飯
[食記] 桃園。麵屋虎千代,"【食記】桃園。麵屋虎千代

各位大饕們好！今天要來跟大家分享一家位於桃園的美味拉麵店 - 麵屋虎千代！如果你跟我一樣是個拉麵控，那你一定不能錯過這家隱藏在桃園的美食寶地！以下是我的親身體驗，希望對大家有所幫助。

餐廳名稱：麵屋虎千代
地址：桃園市中壢區環北路201號
電話：03-4958678
營業時間：週一至週日 11:00 - 14:30、17:00 - 21:30
價位：$150 - $250 (依個人喜好點菜)

麵屋虎千代位於中壢環北路上，附近有收費停車場，交通還算方便。一走進店裡，就能感受到濃濃的日式風情，裝潢以木作為主，搭配和式燈籠及榻榻米座，讓人彷彿置身日本拉麵店。

這次我點了他們家的招牌「豚骨拉麵」，以及一份「炸豬排丼」當配菜。首先來嚐嚐這碗豚骨拉麵吧！湯頭濃郁香醇，喝起來有濃濃的豬肉香，加上Q彈的拉麵體，真的是太美味了！另外，他們的叉燒肉也給得很大方，肉質軟嫩又入味，讓人一口接一口。

接著是「炸豬排丼」，這個也是麵屋虎千代的人氣餐點。豬排外酥內嫩，搭配上醬汁和醋飯，真是一絕配！配菜部分有高麗菜絲、小黃瓜等，清爽解膩。

最後，來聊聊價位吧！麵屋虎千代的價位在$150 - $250之間，算是中高價位，但以品質來說是值得的。如果你是拉麵控或愛吃日式料理的人，我非常推薦你來試試麵屋虎千代！

以上就是我的食記分享，希望大家會喜歡！下次見，掰掰～",你是美食熱愛者,以PTT美食版發文風格，寫一篇「[食記] 桃園。麵屋虎千代」為標題的文章，要包含以下資訊：餐廳名稱、地址、電話、營業時間、價位
[食記] [新竹] 少年G鹽水雞 ～少了胖焗多了滷味,"【食記】[新竹] 少年G鹽水雞 ～少了胖焗多了滷味

消費時間：2018年3月
地址：新竹市東區東大路二段295號
電話：03-574-6666
營業時間：11:00-14:00, 17:00-21:00

在新竹市東區的少年G鹽水雞，是一家以鹽水雞和滷味為主打的餐廳。這家店在2018年3月造訪時，我發現它已不再主打胖焗雞，而是著重於其美味的滷味。環境方面，店內明亮整潔，座位間格寬敞，適合家庭、朋友聚會或個人用餐。

一進門，服務生迅速引導我們到座位，並遞上菜單和開水。在點餐過程中，服務生熱心地為我們介紹了不同的菜色，並回答了我們關於食材來源和烹調方法的疑問。

首先品嚐的是鹽水雞（NT$250）。鹽水雞是少年G的水果酒醃製而成，雞肉軟嫩多汁，味道濃郁。搭配上其特製醬汁，滋味更上一層樓。然而，與以往吃過的鹽水雞相比，少年G鹽水雞的口味稍重，可能有些人會覺得過鹹。

接著品嚐的是招牌滷味（NT$200）。滷味拼盤包含了豆乾、牛筋、豬耳朵等多種食材，每樣都入味且口感豐富。其中，豆乾和豬耳朵是我最喜歡的，前者嫩滑可口，後者香脆彈牙。然而，相比起鹽水雞，滷味的味道稍淡，可能需要搭配更多醬料來提升風味。

最後品嚐的是青木瓜絲（NT$100）。青木瓜絲口感清脆，佐上其特製醬汁後，滋味酸甜鮮爽。但與鹽水雞和滷味相比，它顯得較為單調。

在用餐過程中，服務生的態度親和，不時來收碗盤、倒水，並詢問我們是否需要加飯或調料。然而，由於少人光顧，店內的音樂音量稍大，影響了一些用餐氣氛。

整體而言，少年G鹽水雞提供了美味的滷味，但與以往主打的水果酒醃製雞肉相比，口味上可能稍重了些。下次到訪時，或許會嘗試其他菜色，如豆乾、豬耳朵等，來感受更多不同的滋味。",你是美食評論家,發表食記，先提供餐廳名稱、消費時間、地址、電話、營業時間，消費時間隨機選2022年以前的月份，內容為餐廳環境、服務、食物的食用感想和價格，內容500-900字，標題為[食記] [新竹] 少年G鹽水雞 ～少了胖焗多了滷味
[食記] 台北信義 永春站 無敵水餃&搶鍋麵,"【食記】台北信義 永春站 無敵水餃&搶鍋麵

消費時間：2018年3月
地址：台北市大安區信義路四段295巷1號
電話：(02)2766-0889
營業時間：11:30-14:30, 17:30-21:00

一、餐廳環境
無敵水餃&搶鍋麵是一家位於台北市大安區永春站附近的中式料理店，主要提供水餃和涮涮鍋。走進店內，明亮的燈光搭配木質調的桌椅凳，給人一種溫馨舒適的感覺。座位分為吧台座位和一般座位，適合個人、小家庭或朋友聚餐。

二、服務
服務生在入座後迅速送上菜單並介紹今日推薦菜色，回答了我們一些關於食材來源和料理方法的問題。點餐後，他們迅速上菜，讓我們可以快速地品嚐到美味的食物。用餐過程中，服務生不時來收碗盤，保持桌面整潔。

三、食物食用感想與價格
1. 牛肉水餃 (NT$200)：外皮薄而Q彈，內餡飽滿且多汁，牛肉鮮嫩可口，搭配上微辣的醬料，非常下飯。
2. 鮮蝦餃 (NT$250)：鮮蝦鮮香，口感脆口，與蔬菜餡相得益彰，是一道美味的開胃菜。
3. 搶鍋麵 (NT$180)：湯頭濃郁，料多實在，牛肉軟嫩、豆腐嫩滑、青菜清脆，搭配上Q彈的麵條，非常滿足。
4. 麻辣鴨血 (NT$60)：鴨血入味且辣度適中，口感滑嫩，是一道下飯的小菜。
5. 豆皮捲 (NT$80)：豆皮香脆可口，內餡飽滿，搭配上微甜的醬料，非常開胃。

四、總結
無敵水餃&搶鍋麵提供了美味的餃子和涮涮鍋，在環境、服務和食物方面都表現良好。價格稍高，但食材新鮮、味道鮮美，值得一試。下次到永春站附近，不妨來此品嚐美味的水餃和涮涮鍋。",你是美食熱愛者,發表食記，先提供餐廳名稱、消費時間、地址、電話、營業時間，消費時間隨機選2022年以前的月份，內容為餐廳環境、服務、食物的食用感想和價格，內容500-900字，標題為[食記] 台北信義 永春站 無敵水餃&搶鍋麵
[食記] 基隆遠東泡泡冰 基隆仁愛 香綿雞蛋牛奶冰,"【食記】基隆遠東泡泡冰 - 基隆仁愛 香綿雞蛋牛奶冰

消費時間：2018年3月
地址：基隆市仁愛區愛四路57號
電話：0965-545-555
營業時間：12:00-22:00

基隆遠東泡泡冰是一家位於基隆仁愛區的愛四路上的傳統冰品店，以其香綿雞蛋牛奶冰聞名。這家老店已經存在了數十年，一直以來都受到在地人和遊客的喜愛。這次我與家人一起前往品嚐這美味的古早味冰品。

一進門，店內的裝潢散發著濃濃的老派風情，木質桌椅、磚牆以及復古燈飾，讓人彷彿回到了上個世紀。服務生熱情地為我們介紹菜單並推薦招牌香綿雞蛋牛奶冰。我們點了一份香綿雞蛋牛奶冰和一杯檸檬愛玉。

香綿雞蛋牛奶冰（NT$100）是這家店的招牌冰品，以綿密的雞蛋豆花搭配香濃的牛奶冰淇淋而成。雞蛋豆花入口即化，口感柔滑，與濃郁的牛奶冰淇淋相得益彰。在炎熱的夏天，這碗冰品真是消暑又美味！

檸檬愛玉（NT$50）是另一道清爽的選擇。以新鮮檸檬汁調製的愛玉，酸酸甜甜的滋味非常開胃。愛玉的口感Q彈有勁，搭配上檸檬汁的清香，讓人不禁一口接一口。

在用餐過程中，服務生十分熱心地為我們介紹每道菜品的特色和做法，讓我們對這家店的歷史和傳統更有了更深入的了解。此外，他們還不時地幫我們補充水杯，非常貼心。

整體來說，基隆遠東泡泡冰是一家充滿懷舊風情的冰品店，提供美味又道地的古早味甜品。香綿雞蛋牛奶冰和檸檬愛玉都是值得一試的經典之作。下次來到基隆仁愛區，別忘了來這家老店嚐嚐這傳統的好滋味！",你是美食部落客,發表食記，先提供餐廳名稱、消費時間、地址、電話、營業時間，消費時間隨機選2022年以前的月份，內容為餐廳環境、服務、食物的食用感想和價格，內容500-900字，標題為[食記] 基隆遠東泡泡冰 基隆仁愛 香綿雞蛋牛奶冰
[食記] 台北 小黑碳鐵板漢堡,"【食記】台北 小黑碳鐵板漢堡

消費時間：2018年3月
地址：台北市大安區信義路四段176號
電話：(02)2754-9999
營業時間：週一至週日，上午11:00 - 下午10:00

小黑碳鐵板漢堡是一家位於台北市大安區的碳烤鐵板料理餐廳。自2018年3月造訪以來，它已成為我心中的美食首選之一。今天，讓我們一起來重溫一下那次難忘的用餐體驗吧！

一、環境：
走進小黑碳鐵板漢堡，首先被其溫馨而舒適的氛圍所吸引。木質調的裝潢搭配著暖黃色燈光，給人一種家一般的溫暖感。座位分為吧檯位和四人座桌，無論是獨自前往或與朋友家人一起用餐都非常合適。值得一提的是，餐廳內不時傳來輕快的音樂，為整間店增添了一份活力。

二、服務：
小黑碳鐵板漢堡的服務生在接待方面表現得十分周到。當我們入座後，服務生迅速為我們送上菜單並詳細地為我們介紹了各種料理。由於我們是第一次來此用餐，她建議我們可以先嘗試招牌碳烤牛肉和海鮮拼盤。此外，她還向我們推薦了一些搭配飲品，如啤酒、紅茶等。

三、食物：
1. 海鮮拼盤（NT$380）
海鮮拼盤由鮮蝦、花枝、魷魚、小卷等多種食材組成，每一口都充滿了海洋的鮮味。鮮蝦鮮嫩多汁，口感彈牙；花枝Q彈有勁，味道鮮美；魷魚和小卷則香嫩可口，令人回味無窮。搭配上其特製的醬汁，更加提味。

2. 招牌碳烤牛肉（NT$350）
小黑碳鐵板漢堡的招牌碳烤牛肉是一道經典之作。牛肉片經過炭火燒烤後，表面微焦，內里鮮嫩多汁。搭配上其特製醬料，味道更上一層樓。配菜方面，有高麗菜、洋蔥等，解膩又爽口。

3. 飲品（NT$100）
我們點了一杯啤酒和一杯紅茶。啤酒是黑啤，口感濃郁，味濃而醇；紅茶則清香四溢，回甘生津。

四、價格：
小黑碳鐵板漢堡的價位在中上位，但以其食材的新鮮度和味道來說，我認為它非常值得。

總結：
小黑碳鐵板漢堡是我心目中的台北美食首選之一。它的美味料理、溫馨舒適的環境以及周到的服務讓我每次到訪都倍感滿意。下次來到台北，別忘了來此一試！",你是美食評論家,發表食記，先提供餐廳名稱、消費時間、地址、電話、營業時間，消費時間隨機選2022年以前的月份，內容為餐廳環境、服務、食物的食用感想和價格，內容500-900字，標題為[食記] 台北 小黑碳鐵板漢堡
